ID,Title,Description
19,House sale prices April 1989- Apr 1993 for TW5 area,Hello.  I would like any house sale prices for postcode TW5 9DJ and TW5 9DG between April 1989 and April 1993.  I need to have evidence of these for challenging my current current council tax band.
20,No. of deaths caused by cancer in last 20 years (by age),Number of deaths in the last 20 years where cause is death has been certified as cancer. Counts are required by age of death
21,Mode of Disposal of the Deceased (UK),"This UK data-set would show the amount of deaths annually including the mode of disposal, whether cremation, burial, water, natural or some other."
22,Highways Agency Traffic Camera Images,"I would like to be able to access the database of live traffic camera images from the Highways Agency. I would like a list of camera locations and URLs to the images. I believe this data has been available freely in the past, however I have tried and failed to gain access recently."
23,Traffic Data,"Hourly or sub hourly Traffic count, vehicles speeds, and vehicle classifications related to Road sites air pollution data provided by London air quality Network on its website"
24, High_ways Agency Oper_a_tional Data and opem transport data from Birmingham city council,I need the annual time-series daily traffic flow of birmingham for research
25,Small area wealth or income data,"Some sort of analysis of wealth (not deprivation) at small area (OA level for preference). This could be something like average gross taxable income, average untaxed state benefits and any other useful additions"
26,Data for scarlet fever notifications in the UK,"In your updates of scarlet fever notifications in the UK, graphs are produced displaying data from 2009/2010 to 2014/2015.Please could I have this data to analyse for a University Project?"
27,"River Gauging of Parrett Catchment, Somerset","For my undergraduate dissertation at the University of East Anglia I intend to estimate the potential of dredging as a flood control measure for the Parrett Catchment. I have obtained daily precipitation data for the south-west and have created a GIS model to estimate potential discharge of the catchment. In order to validate my model I would require regular interval (e.g. daily) water depth or discharge data from a number of stations (ideally > 10) across the catchment. I am most interested in the period of Autumn 2013 to Spring 2014, should this period be available."
28,River Ribble Flow Data Apr-May 2015,"I would like flow data for the River Ribble. I am interested in gauging station and level-only data for three stations: Locks Weir (Stackhouse), Penny Bridge (Giggleswick) & Stainforth (if it still exists). I would like data (cumecs and/or river height) to be as detailed (shortest interval between measurements) as possible for the period 25th April 2015 to 13th May 2015. I appreciate the most recent data may require validation before it can be released."
29,"Sodium Chloride Particulates in Air, or related dataset",We require a dataset that models airborne salination across the UK. This must be a gridded dataset with extensive or complete land coverage for the UK. The dataset may model either sodium chloride particulates or chloride particulates and may be measured either as a mean background pollution or as an accumulated annual particulate deposition.
30,Water Accident and Incident database,A national record of all water related fatalities and incidents in the UK.
31,Drug Design Related Data,"For my Research Based Learning project Titled Multi Target Prediction In Drug Design  I want the Data Setwhich will contain the details about the chemical compounds and their possible legends."
32,Academy Trusts and member Schools/Academies,"I would like an up to date listing of all the Academy Trusts with member schools of each trust (Primary and Secondary)  For each trust the CEO ( trust leader)/ address.   For each of the schools under the Academy trust - the Head teacher, address, number of students, age range, telephone number."
33,Low Bridges, A list by post code and identifier of all low bridges in UK
34,Rail passenger thorough put/passenger traffic data,I would like for my PHD research to have rail passenger throughput numbers for a few point to point journeys covering 1 year (any UK point to point journey) . For example the numbers of passengers in one year that travel from Kingston to Guildford. The data is required as an input to perform some  calculations.
35,Statisitics on Recruitment by Conscription to the UK Armed Forces in 1948 and annually until 1952,Statisitics on Recruitment by Conscription to the UK Armed Forces in 1948 and annually until 1952
36,Immigration Naturalisations,"I am working on an undergraduate research thesis comparing the United States and the United Kingdom, their immigration policies, and appeal to immigrants. I am wondering if I could receive data regarding naturalisations in the UK per year for years 2004-2013, by region, and by country of birth."
37,Commercial and Industrial Waste,"I am looking for either monthly or quarterly or annual Commercial and Industrial waste management data. Period 2007-2013. I see that this data is published only for 2004, 2006 and 2008. Is it possible to get the data until 2013 or the most latest updated period?Regards,Akhil"
38,DVLA Vehicles Database,Driver Vehicle Licensing Agency (DVLA) vehicles database. List of all licensed and unlicensed vehicles registered in GB. More than 80 million records. Includes the vehicle registration number plate.
39,Elderly people in residential or nursing care homes funded by their local authority - numbers and/or cost,"Hi - is there a data set/data sets which included the information described above?  I am looking to build up a picture of the patterns of numbers in care across different local authorities, at a particular point in time (although I am not too concerned about when that point in time is).  Ideally I'd like to obtain the numbers in care and the amount the authority spends per year on such care, although either of these figures would be helpful on its own.I have searched the site but have not been able to find anything along the lines of the above."
40,"West Street, Glasgow weather 5 April 2007 to September 2008","Weather report, in particular rainfall in West Street, Glasgow for the period 5 April 2007 to September 2008."
41,National USRN dataset,"A full, national list of Unique Street Reference Numbers (USRNs) together with their associated metadata (geographic coordinates, status and classification information)"
42,Agricultural Census Data for 2 Yorkshire Parishes,Request annual return data on total numbers of Sheep & Lambs and Cattle & Calves in the following two North Yorkshire parishes from 1986 to the latest available date: for Malham Moor Parish and for Buckden Parish
43,Ownership of GP surgery and contract type,"For each GP surgery in the UK the data would list the contract type it holds (eg APMS, GMS, PMS) and the signatories to the contract. This would be the GP partners who own the surgery, or the parent company / corporate provider who provides primary care services."
44,Inactive children in Newcastle East End,"A breakdown of children in Newcastle East End who are inactive (less than 30mins per week) across the city wards of Byker, Heaton, Walker and Walkergate."
45,UK's monthly fertility rate,"I would like to have the monthly fertility rate for UK which includes England, Wales, Scotland and North Ireland"
46,List of all BSF and PFI schools opened in the last 10 years,I would like a list of BSF and PFI schools opened in the last 10 years.
47,Police spending over £500,"I can't seem to find any data on police spending over £500 (broken down by police force), I would like to see similar spend data to the sets which should be published for local councils."
48,Road Safety Data from 2014,Data about Road Safety Data from 2014 to 2015 and daily or monthly refresh.
49,Recent Pay scales for maritime staff,"I am running a data analysis of our marine staff pay to ensure that our pay scales are still competitive. I am looking at the following roles: masters, chief engineers, chief officers, 2nd and 3rd officer, 2nd and 3rd negineers, purser, chefs, bosum and able seamen."
50,National school catchment areas,"School catchment area boundaries in a useful location format for schools across the whole country (or even across the UK, if such data is available)"
